2022-12-09,21,3,57,3.2,91,3.2.1.0,KOMUNIKASI PENGAWALAN PEKERJAAN GANTRY 208 JORR P TATANG,208,2000000,[3.2.1.0] Jamuan EX-ternal
2022-11-30,21,3,57,3.2,91,3.2.1.0,BONGKAR GANTRY TOLL JAGORAWI ID 128 P TATANG,128,200000,[3.2.1.0] Jamuan EX-ternal
2022-12-09,21,3,57,3.2,91,3.2.1.0,INSENTIF KOMUNIKASI HK DAN PJR  208 P TATANG,208,200000,[3.2.1.0] Jamuan EX-ternal
2022-12-29,21,3,57,3.2,91,3.2.1.0,KORDINASI PENGAWALAN PEMBONGKARAN GANTRY 128 P TATANG,128,300000,[3.2.1.0] Jamuan EX-ternal
2022-12-13,21,3,57,3.2,91,3.2.1.0,PATROLI JASA MARGA KORDINASI PENGAWALAN PEMBONGKARAN 128 P EKO,128,2000000,[3.2.1.0] Jamuan EX-ternal
2022-12-11,21,3,57,3.2,91,3.2.1.0,PENGAWALAN JASA MARGA CEK JARAK 128 P EKO,128,200000,[3.2.1.0] Jamuan EX-ternal
2022-12-13,21,3,57,3.2,91,3.2.1.0,PATROLI JM 1 PENGAMANAN DAN PENGAWALAN P EKO,128,500000,[3.2.1.0] Jamuan EX-ternal
2022-11-30,21,3,57,3.2,91,3.2.1.0,PENGAWALAN PEMBONGKARAN GANTRY 128 JAGORAWI P TATANG,128,500000,[3.2.1.0] Jamuan EX-ternal
2022-11-30,21,3,57,3.2,91,3.2.1.0,PENGAWALAN DAN PENGAMANAN  BONGKAR GANTRY 128 P TATANG,128,500000,[3.2.1.0] Jamuan EX-ternal
2022-12-13,21,3,57,3.2,91,3.2.1.0,PJR 2 PENGAWALAN DAN PENGAMANAN PEMBONGKARAN 128 P EKO,128,500000,[3.2.1.0] Jamuan EX-ternal
2022-12-13,21,3,57,3.2,91,3.2.1.0,PJR 1 PENGAWALAN PEMBONGKARAN GANTRY 128 P EKO,128,500000,[3.2.1.0] Jamuan EX-ternal
2022-12-13,21,3,57,3.2,91,3.2.1.0,PATROLI JM 2PENGAWALAN DAN PENGAMANAN GANTRY 128 P EKO,128,500000,[3.2.1.0] Jamuan EX-ternal
2022-12-11,21,3,57,3.2,91,3.2.1.0,PATROLI JM 3 PENGAWALAN DAN PEMASANGAN 128 P EKO,128,500000,[3.2.1.0] Jamuan EX-ternal
2022-12-13,21,3,57,3.2,91,3.2.1.0,JASA MARGA PENGAMANAN DAN PENGAWALAN 128 P EKO,128,250000,[3.2.1.0] Jamuan EX-ternal
2022-12-13,21,3,57,3.2,91,3.2.1.0,JASA MARGA KORDINASI PEMASANGAN GANTRY 128 JAGORAWI P EKO,128,1000000,[3.2.1.0] Jamuan EX-ternal
